67,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,1153312,1307988,,,,,,,,,,,,
68,Round 1,"SHAMBHU NATH INSTITUTE OF ENGG. & TECHNOLGY,ALLAHABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,227389,665883,,,,,,,,,,,,
69,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,630441,1189818,,,,,,,,,,,,
70,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,275145,592805,,,,,,,,,,,,
71,Round 1,"NIGC INSTITUTE OF TECHNOLOGY AND MANAGEMENT, BIJNOR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,643126,995323,,,,,,,,,,,,
72,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,991586,1101899,,,,,,,,,,,,
73,Round 1,"AXIS INSTITUTE OF TECHNOLOGY & MANAGEMENT,KANPUR",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,774959,1110292,,,,,,,,,,,,
74,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,656808,784553,,,,,,,,,,,,
75,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering (AI & Finance Managemnet),B.Tech,Home State,BC,Both Male and Female Seats,384857,445239,,,,,,,,,,,,
76,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering (AI & Finance Managemnet),B.Tech,Home State,SC,Both Male and Female Seats,607449,740974,,,,,,,,,,,,
77,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Computer Science & Engineering (AI & Finance Managemnet),B.Tech,Home State,ST,Both Male and Female Seats,753108,753108,,,,,,,,,,,,
78,Round 1,"LLOYD INSTITUTE OF MANAGEMENT & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,790299,1004043,,,,,,,,,,,,
79,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,828092,1100225,,,,,,,,,,,,
80,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,403079,1406722,,,,,,,,,,,,
81,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,547700,772736,,,,,,,,,,,,
82,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,699261,1029450,,,,,,,,,,,,
83,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,802779,1043002,,,,,,,,,,,,
84,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,152819,185266,,,,,,,,,,,,
85,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,605609,724694,,,,,,,,,,,,
86,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Information Technology,B.Tech,Home State,SC(Girl),Female Seats,1373019,1373019,,,,,,,,,,,,
87,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,115468,150273,,,,,,,,,,,,
88,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,183047,203645,,,,,,,,,,,,
89,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,156041,171474,,,,,,,,,,,,
90,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,141965,160261,,,,,,,,,,,,
91,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science & Engineering (Artificial Intelligence),B.Tech,Home State,ST,Both Male and Female Seats,581175,709170,,,,,,,,,,,,
